"WO No.","Part Name","Part Drg No.","Req. Qty","Type","BOM Upload Dt","Design Eng","Approved By","Dwg Rls Dt"
"AL-1444-01","10-09-00-GUIDE ROD DIA 25","AL1444.01-10-09-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-01-00-EI HOLDING BLK","AL1444.01-06-01-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-04-R1-CYLINDER COUPLER","AL1444.01-02-04-R1","1","","31-01-2022","Sunil","PPRAJ","2022-01-31"
"AL-1444-01","11-02-00-HINGE CHUTE MTTG BLK","AL1444.01-11-02-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","07-04-00-PAWL","AL1444.01-07-04-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-06-00-BUTTON","AL1444.01-03-06-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","10-28-00-GRIPPER MTG PIN","AL1444.01-10-28-00","1","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","01-04-00-STOPPER","AL1444.01-01-04-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-30"
"AL-1444-01","03-201-00-COMP HOLDING BLK","AL1444.01-03-201-00","1","","20-06-2022","Sunil","PPRAJ","2022-06-20"
"AL-1444-01","08-01-00-LM BLOCK MTG PLATE LH","AL1444.01-08-01-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-10-00-FEEDER GUIDE MTG BRKT","AL1444.01-05-10-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","08-062-00-SUPPORT PLT FOR CYL MOUNTING PLT","AL1444.01-08-062-00","1","","04-06-2022","Sunil","PPRAJ","2022-06-04"
"AL-1444-01","08-18-00-LOAD CELL","AL1444.01-08-18-00","1","","03-06-2022","Nitish","PPRAJ","2022-06-03"
"AL-1444-01","10-06-00-GRIPPER PLATE RH","AL1444.01-10-06-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-16-00-CYL CPLR","AL1444.01-06-16-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
